id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Sahara Dreams,country,relaxed,0.45,88,0.72,0.55,0.76
12,Velvet Groove,Soul Shade,r&b,romantic,0.58,98,0.78,0.71,0.42
13,Electric Thunder,Volt Storm,metal,intense,0.97,180,0.30,0.55,0.04
14,Classical Reverie,Vienna Strings,classical,melancholic,0.20,52,0.50,0.22,0.98
15,Block Party,The Grid,hip-hop,energetic,0.85,140,0.75,0.92,0.08
16,Reggae Morning,Island Vibes,reggae,happy,0.62,95,0.88,0.80,0.55
17,Blue Sunday,Delta Roots,blues,sad,0.33,70,0.30,0.45,0.82
18,Funk Factory,Groove Machine,funk,energetic,0.80,115,0.87,0.94,0.12
19,Lunar Drift,Echo Chamber,electronic,moody,0.70,128,0.44,0.85,0.15
20,Rainy Soul,Velvet Tone,soul,sad,0.38,72,0.40,0.50,0.70
